warning_type,tier,tier_weight,file,line,column,message,compile_unit,loc_file
unused_variable,B,1,bia_behres.f,12,44,Unused variable ‘iloglen’ declared at (1) [-Wunused-variable],bia_behres.f,bia_behres.f
unused_variable,B,1,bia_johnson.f,5,18,Unused variable ‘ispc’ declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,6,40,Unused variable ‘loglength’ declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,7,17,Unused variable ‘mincufttop’ declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,7,27,Unused variable ‘strvoleq’ declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
tab_character,B,1,blmtap.f,67,4,Nonconforming tab character in column 4 of line 67 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,110,1,Nonconforming tab character in column 1 of line 110 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,111,1,Nonconforming tab character in column 1 of line 111 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,112,1,Nonconforming tab character in column 1 of line 112 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,113,1,Nonconforming tab character in column 1 of line 113 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,115,1,Nonconforming tab character in column 1 of line 115 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,116,1,Nonconforming tab character in column 1 of line 116 [-Wtabs],blmtap.f,blmtap.f
tab_character,B,1,blmtap.f,184,3,Nonconforming tab character in column 3 of line 184 [-Wtabs],blmtap.f,blmtap.f
unused_variable,B,1,blmtap.f,15,48,Unused variable ‘profileht’ declared at (1) [-Wunused-variable],blmtap.f,blmtap.f
unused_variable,B,1,blmtap.f,277,53,Unused variable ‘dbhib’ declared at (1) [-Wunused-variable],blmtap.f,blmtap.f
tab_character,B,1,blmvol.f,64,4,Nonconforming tab character in column 4 of line 64 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,68,3,Nonconforming tab character in column 3 of line 68 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,76,3,Nonconforming tab character in column 3 of line 76 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,114,1,Nonconforming tab character in column 1 of line 114 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,394,3,Nonconforming tab character in column 3 of line 394 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,944,1,Nonconforming tab character in column 1 of line 944 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,948,1,Nonconforming tab character in column 1 of line 948 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,952,1,Nonconforming tab character in column 1 of line 952 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,956,1,Nonconforming tab character in column 1 of line 956 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,960,1,Nonconforming tab character in column 1 of line 960 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,964,1,Nonconforming tab character in column 1 of line 964 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,967,1,Nonconforming tab character in column 1 of line 967 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,970,1,Nonconforming tab character in column 1 of line 970 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,973,1,Nonconforming tab character in column 1 of line 973 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,976,1,Nonconforming tab character in column 1 of line 976 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,979,1,Nonconforming tab character in column 1 of line 979 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,982,1,Nonconforming tab character in column 1 of line 982 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,985,1,Nonconforming tab character in column 1 of line 985 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,988,1,Nonconforming tab character in column 1 of line 988 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,991,1,Nonconforming tab character in column 1 of line 991 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,994,1,Nonconforming tab character in column 1 of line 994 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,997,1,Nonconforming tab character in column 1 of line 997 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1000,1,Nonconforming tab character in column 1 of line 1000 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1003,1,Nonconforming tab character in column 1 of line 1003 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1006,1,Nonconforming tab character in column 1 of line 1006 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1009,1,Nonconforming tab character in column 1 of line 1009 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1012,1,Nonconforming tab character in column 1 of line 1012 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1015,1,Nonconforming tab character in column 1 of line 1015 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1018,1,Nonconforming tab character in column 1 of line 1018 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1021,1,Nonconforming tab character in column 1 of line 1021 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1024,1,Nonconforming tab character in column 1 of line 1024 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1028,1,Nonconforming tab character in column 1 of line 1028 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1031,1,Nonconforming tab character in column 1 of line 1031 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1034,1,Nonconforming tab character in column 1 of line 1034 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1037,1,Nonconforming tab character in column 1 of line 1037 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1040,1,Nonconforming tab character in column 1 of line 1040 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1043,1,Nonconforming tab character in column 1 of line 1043 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1046,1,Nonconforming tab character in column 1 of line 1046 [-Wtabs],blmvol.f,blmvol.f
tab_character,B,1,blmvol.f,1049,1,Nonconforming tab character in column 1 of line 1049 [-Wtabs],blmvol.f,blmvol.f
